ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,ADDRESS_NAME,PROJECT_NAME
HTqvaLzL8ZzjMbQhQXhDcsJiZrep5ucCSDJ7Jsc5c1Jo,defi,pool,atrix finance pool,atrix
Hrno2LwUM5Hg8w8fCzpkLZHwSHuTM8CJvTVpvoZwFxfz,defi,pool,psyoptions: bonk-call,psyoptions
AppJPZka33cu4DyUenFe9Dc1ZmZ3oQju6mBn9k37bNAa,defi,token_contract,solend eth,solend
BR31LZKtry5tyjVtZ49PFZoZjtE5SeS4rjVMuL9Xiyer,defi,token_contract,zstep (acumen),acumen
5Ct2RDEyRww3gnZtMEiVgcDJvS2NUCdERsb15M1nwtTP,defi,pool,solend: solcomm pool,solend
FRnnAc8t6PLZaQY7m9ihouEHn5zDVTE7UjHo2CUhpcQk,defi,pool,atrix finance farm,atrix
BwjnMHzEE5aFxYvc587pSQRXBn6ZPvxMgi33FAtd6QF6,defi,router,kamino: MSOL/STSOL strategy address,kamino
B56RWQGf9RFw7t8gxPzrRvk5VRmB5DoF94aLoJ25YtvG,defi,treasury,marinade treasury #1,marinade finance
6cVE2BzxGN786V6vXGRaCFF1C8oomPR1pRdxJdRT2it9,defi,pool,frakt: degenerate trash pandas pool,frakt
Bb2YsPNJUhYASCBoCJziVCu4ujrNsBiskApkS9HFUNYP,defi,router,kamino: wen/sol strategy address,kamino
694C2SbXoMTNM66V67fsB4AfVYcws4KLMjewEPF988Bf,defi,pool,frakt: abc pool,frakt
3Katmm9dhvLQijAvomteYMo6rfVbY5NaCRNq9ZBqBgr6,defi,general_contract,francium lending reward program,francium
46tLag65TCkLf49scN678ghj1537QwcboKKUxt14agBZ,defi,general_contract,solblaze faucet,solblaze
B9VWxWYYUh6Vn1pRDTohfkacc3qWpKTuNJZXaw2aDSxx,defi,pool,atrix finance pool,atrix
FQ3JzCQ7rTSsGmbxK7jyceP5AELabSpFPSMhPuAcnGaL,defi,pool,atrix finance pool,atrix
3UjNTqxPquKNkfAscFk3AxW2pBEKcQYfjymBrUzbeq3r,defi,pool,frakt: pesky penguins pool,frakt
B6CAW9Q8nzgDxT81YjaSdf3kQwrLghVbdiAJr7nN47px,defi,router,kamino: stsol/ldo strategy address,kamino
9RPVr1S3R4trSu67pxTRfmaGem2eGSNU9dpiCtrxAag2,defi,router,kamino: sol/nana strategy address,kamino
51b2k64na85t4T7S4Wo1bxa4oWJtBrGwGu3xN6T8Xuk9,defi,pool,atrix finance pool,atrix
Ci3QvUwDWxj3AKK3zg2yAb78qTXv9vJB7CiYPmVeJZvT,defi,router,kamino: gecko/usdc strategy address,kamino
5HAahMqsTrYcexmrJQMZZ92BTLLfuCRUqMh9wnyKBbNv,defi,router,kamino: sol/guac strategy address,kamino
7Ld2KcsDyaiH812hGbDWpSPUf3RpagcAeMtTmCRThc6b,defi,router,kamino: sol/gp strategy address,kamino
MFv2hWf31Z9kbCa1snEPYctwafyhdvnV7FZnsebVacA,defi,general_contract,marginfi v2,marginfi
FTPwPAAs29pDs3uQJXn7yUifqM6EsNvVTc6W6VNvvgAZ,defi,router,kamino: sol/gecko strategy address,kamino
2G1J2BsnLARZ4wtgyNnui7f1hrBt6sgBWzN7WSAUMSfo,defi,pool,atrix finance pool,atrix
Atf9S7Ln8mZipAHHSXyTp25hJm3prQD68pCxZ2BnANUD,defi,pool,atrix finance farm,atrix
CpRUvQGqFxozuw1NB7zw9j8enVxRhqcQT7a46iFvft1o,defi,pool,solend: kirkland pool,solend
GX3rxBeAUuhg76eoFgAEEmQkX4pf87rv1AUhafmMhfsQ,defi,router,kamino: SOL/USDT strategy address,kamino
AG4ZQYVdudLNUvk5HDnKcxD4Z2AbKvBE44ejPAVxJhFX,defi,pool,atrix finance farm,atrix
2YS1k4i2xrThW2eZ8cs6m1q7yDTRzRsWKs6KnBBLR31P,defi,router,kamino: orca/usdc strategy address,kamino
46HF3cV4JBkbPbiT6HsXMkBh9qLsmifLzt8F8iNcPdnv,defi,router,kamino: SOL/HADES strategy address,kamino
EhYXq3ANp5nAerUpbSgd7VK2RRcxK1zNuSQ755G5Mtxx,defi,staking_contract,alameda staking #1,alameda
9hkLMWs1fDrxqA9MxaHx84ucZv5wmYR7s1kcLf8T47nG,defi,pool,atrix finance farm,atrix
