ADDRESS,LABEL_TYPE,LABEL_SUBTYPE,ADDRESS_NAME,PROJECT_NAME
2H6gWKxJuoFjBS4REqNm4XRa7uVFf9n9yKEowpwh7LML,dapp,oracle,crypto.lst/usd,pyth
DLPB5nPviQid5Ara7j28jUczFnp46B9MziYcQBBn6KQq,dapp,governance,kurcodao,kurcodao
6jkaVR3yeo6xWDhzbKEK98qnGbpBRjhz7aq8aTFZn3m,dapp,governance,tsmbl,tsmbl
93cUWEAdzx9YMJptMwvWkAEXewbvBmoQ4tXaKFviVXnv,dapp,governance,bonezz inu,bonezz inu
3SM7TNPAZ2msDSiktNUrgRRDHAnopUZfgV5B82g2mWB5,dapp,governance,freshdao,freshdao
AX2wfHP9NQ6z8JA4exmHnfkqgxiBb4Kcv6BjR8NJFhgL,dapp,governance,test,test
DLxgBgdwUzpvoJH4bhJmLonFymSejKUiMBGAQE6XwopU,dapp,governance,antlerdao,antlerdao
2MnEBBUnVfBVKSSGsE45EtPU5az5SSLqBseG3zdQtdZe,dapp,governance,seraph,seraph
3gRmkxULkty8XmiGidbGT8Kt9EnfsJgruacKA4ykeseC,dapp,oracle,crypto.mean/usd,pyth
7MJoBk3NmfLAGLzDmqAZWxQgyZGES7DfPCdRAoVmYAnY,dapp,governance,test dao,test dao
Dy3R2uACxvZjdrSBnGSvwkticmJ5qrPGJ5BPmpu89VSL,dapp,governance,the cowmission,the cowmission
3RwQs2YmhiWphSCddZrK5r2qJ3f4tRSKMzC7XdyNJtZ4,dapp,governance,p1usone,p1usone
FGNcMoPLUTvCrkuA3eAjURtaKXoxjzDyLwbb8yJBvco5,dapp,governance,everlend-testing,everlend-testing
3FQPNbVbTiPLzK4pfM5RW1j3JYkXbr7tbnm8h3nDAmCW,dapp,governance,core,core
GgjTau55pSX5QRmGhfAGhQafHMAuDEwg4KRfaHuWXzr5,dapp,governance,creative club,creative club
EWQbRZ1pdc6vamWH8LPMwi97zVPescTE7P1py6zWbRhi,dapp,governance,madhavan solana grants,madhavan solana grants
C2paGUh73C7yMN8FJQ4Aso8R8Rcqe2gcN2RajkY3y4bt,dapp,governance,hodl dao,hodl dao
9UGQnWt4Jm3P8PDqpB8vUMKRvMQXZvokHMzZswRGvFQG,dapp,governance,cm test dao1,cm test dao1
6cxM3jY1p4WAncb356Gv9bteRv8fSxaRKPK6JQVDqbkJ,dapp,governance,wonder,wonder
4R6mHB5hirj348JUyYcGc4iZNYoTm7udhQRtL9VebUEp,dapp,governance,crypto workbench multisig,crypto workbench multisig
CpDQkHuoM5VuRMAR2TX8FAFXVZM2duWhwaWBXpxqZs5G,dapp,governance,adao,adao
6psj23wudyGYucmfSHE8Ga3Vrrzgsz2YDPL5AsNSAPzy,dapp,governance,clever programmer,clever programmer
EhccJUNVEP1ZNkGWQnPLDhyLPMjM5JzwR1yU5gwgMuZR,dapp,governance,pro-invest,pro-invest
84rimnhHnf4sFBbCgmqDYTaa75tQpJcBwV4NBpSHsrdU,dapp,governance,flopdao ,flopdao 
9K1vQWvWuFgmw7L7YvyuTVQidfV4BFR2Hsb38eQwqa3j,dapp,governance,invictusdao,invictusdao
7cWnmakdFUUVrJNbY2Mm5riXWBKwb3rPrkTUgPboGcx1,dapp,governance,whale's friend crib,whale's friend crib
3tnm9g8HjCPVCVdigZrkyXaKh1SFFsm7kx24BwkdVojE,dapp,governance,tvvs dao iii,tvvs dao iii
9RuT8RQwAaS6qkreFbgDp2bwVHWcuzq6znZohnDrJKKn,dapp,governance,904 dao,904 dao
6J1MiLsjDoPd9og3LvufxdQVwmHNYx7WzrpCLLSSb8QR,dapp,governance,colddao9,colddao9
75aLZhRVhL5qCH41PmotnD8fKzyQuVAGKG4wjKAcgG8u,dapp,governance,bingo wallet,bingo wallet
4tyf95YJj9TfawVgg2tu4mLTgFqM3okTSrHVdR2EoHBN,dapp,governance,sdfgdfsgf,sdfgdfsgf
9EdtbaivHQYA4Nh3XzGR6DwRaoorqXYnmpfsnFhvwuVj,dapp,oracle,crypto.inj/usd,pyth
Femmp4Tw9eyGXFLVoA4yVPW5xR4oFi4AH7gA3sLXsXzE,dapp,governance,test nft dao,test nft dao
AX2MMMNX5P5k4EWh2t42F39DCy4AjBGAA5FMEXGtdBK5,dapp,governance,testmember4441,testmember4441
Hi9oonHdV1EXDwrzY3h99PctyyayTrPbKWovi8YE9d2K,dapp,governance,lowkey dao,lowkey dao
FvzZFjf3NPTZbKAmQA4Gf1v7uTW7HFcP5Pcr2oVm49t3,dapp,governance,strangemood,strangemood
864SHaJCizsXLNTwT6edVzbcoASxkYpM2nZH5SRZsUmo,dapp,governance,zak realms,zak realms
4s8WMC7uCyUsCnrVE6prdRA7G6rY4wu3PcSpoub7Unz3,dapp,oracle,fx.usd/sgd,pyth
6iBBtiZDb14Y4xRRcJ6uchaRXoFG2PxiQggPooYTPZuS,dapp,governance,degenz alley,degenz alley
E4v1BBgoso9s64TQvmyownAVJbhbEPGyzA3qn4n46qj9,dapp,oracle,crypto.msol/usd,pyth
AKQeCuJk4eURoB96zkHVYGuYZFQLGo6pRXFyGXiEpPaB,dapp,governance,auturoa paapori nz,auturoa paapori nz
EPfaFw1wXRv1vVB4BqvPAAxHoBpetiJHAA2JTx6J7J7m,dapp,governance,testdao,testdao
A7kmu2kUcnQwAVn8B4znQmGJeUrsJ1WEhYVMtmiBLkEr,dapp,governance,solend dao,realms
HvbCxAmv27YrJ6T8u4FJ5YBM6wiYt3tkWfJzkCNdDffL,dapp,governance,solstice,solstice
5HdRahCNMqrzL5yRVXvviUXnDYr1My1GhmmrAWfuovKW,dapp,governance,irene and jose dao,irene and jose dao
97jKDX5Uxh5xSPbmmfhiFodHEajSVdKkknTzzgf8GBAr,dapp,governance,monkeventures,monkeventures
EBJ8WVPNTDJQ5nFXJFkq94LS2CMSGuwuRR1zM7L7xNzx,dapp,governance,little dao,little dao
HNHtX17pJ2LLmEsCrKgDjeH8crcBi6rnKrRtejaSw43a,dapp,governance,workdao,workdao
Ho15L19XbhfKnwNAqW7H89igNtVzzhHL7y7bX6Bue3F4,dapp,governance,testmember4445,testmember4445
CcCfN42Xtm6mvjqdzHQcTbudXry6tfyMSuvhzj3Fux8B,dapp,governance,cheems dao,cheems dao
EroKomMwa4m7Q4PEUNy3nHRjeZ49P3A5CmomNeRm2kFR,dapp,governance,test,test
7xFYkhadhXhk7C1asRNUDsN1ciPEREPJeFJhem6DQZGH,dapp,governance,asdffdsa2233,asdffdsa2233
6V8se3gb6mAfTdaKBHdHSCB7BsR8tauynmgCMwPAPzSj,dapp,governance,kiratdao,kiratdao
4oMrjQmVQGwwsLJYTDeryBbpnC9mTezHZzNSesDFsVFz,dapp,governance,testing transition,testing transition
FvPH7PrVrLGKPfqaf3xJodFTjZriqrAXXLTVWEorTFBi,dapp,general_contract,bonfida twitter verification authority,bonfida
8WxcaF4qHzAutDJKQnhkfDqmMBDWmbb2b62G6yg9Sn4N,dapp,governance,crypto enthusiasts,crypto enthusiasts
3SfSyg4vcaPd4N4mQsoxq8GCQDc8yk9TbuacdxRaP3zF,dapp,governance,hogdao,hogdao
8o5bFrxPvdd5QNX1F3vHVE3ATHmKLrTKTD9JRqrZ7EJo,dapp,governance,cb - livetest,cb - livetest
9GMYNsbpQjnnR62nGbnh618uKhZv54rZATdCoh51nPeR,dapp,governance,thugdao,thugdao
E6rRQBgWFxJZ1T6Rs66VwkArz6EeTqhX2ULEfCvSeb4o,dapp,general_contract,mev address,mev
Dg4hXKTf8d71JCAdNpwvEpvrVh44eN3GX8wrw1t7o7D,dapp,governance,orca_dao_test,orca_dao_test
8pTdL8TQm8Tm7w71o3po8iU8utUm15eFyWPuHV4BJ8pZ,dapp,governance,metacamp dao,metacamp dao
4PYdZHs2hwZYibkvEnpVCJpU7bD4aFUkWtYxGFU25ZWu,dapp,governance,hari's realm,hari's realm
Ad7bjv7pugibV1TbpD3FTubk17L5FxXcLWr54yF8kmj,dapp,governance,ckvswvh7p866091zlmv988ruyp,ckvswvh7p866091zlmv988ruyp
DcnR4c8ptqr9zD93iyurS8G8mEeX3SYB7CKXhe6r5RMm,dapp,governance,drydickdao,drydickdao
EPFwRTHkX4f8GN4jM8dtcPB93eoBgNVbd2yekaXHUtz3,dapp,governance,kala_g16_membership_dao,kala_g16_membership_dao
5LzzbJT68xXGscVKjRpFfbNzxWaJ1CAYVmKr6mJTiRuv,dapp,governance,hello world dao,hello world dao
9mS8GuMx2MkZGMSwa2k87HNLTFZ1ssa9mJ1RkGFKcGyQ,dapp,governance,dean's list grape,dean's list grape
4TboekHWcf3QZ5yQySDf4bDkEfTqotuqtprbQjTgS1e8,dapp,governance,abami world dao,abami world dao
